"StarterGhosts"	"RandomGhosts"	"AggressiveGhosts"	"Legacy"	"Legacy2TheReckoning"
"379"	2670	18060	2960	13480	2740
"380"	8220	2260	5770	3840	6350
"381"	1500	12300	5510	14850	2740
"382"	7800	4480	5910	3760	5740
"383"	1550	36230	8050	14520	2890
"384"	3230	47030	4750	8300	2890
"385"	3630	29210	5310	14920	3140
"386"	4010	14570	5710	17060	2160
"387"	8520	12900	3730	5510	2380
"388"	6780	31030	5910	13550	1820
"389"	9480	9630	5310	13540	3140
"390"	8080	16750	5510	4560	3180
"391"	9140	27160	9990	18290	5710
"392"	7090	32570	14330	13860	3140
"393"	8250	21380	5910	11970	4690
"394"	4370	11670	7650	16550	3140
"395"	8770	5180	5310	16490	4290
"396"	7850	19100	5910	12820	2850
"397"	9740	21630	5510	3560	2360
"398"	3420	29770	5910	12340	2720
"399"	3920	13450	7510	12740	3140
"400"	6260	15500	7440	18660	4380
"401"	7020	24040	17080	15060	5190
"402"	3630	3170	5370	3760	4910
"403"	7720	17070	5160	13570	1600
"404"	5110	12690	5190	5420	1780
"405"	7310	49690	4160	11460	2930
"406"	9760	8380	5910	14890	3140
"407"	9620	8770	5910	4130	3460
"408"	8890	25480	22620	11740	3140
"409"	8490	27270	5910	16460	1760
"410"	2030	9990	13340	14670	6050
"411"	12570	7690	3360	12720	2230
"412"	6540	37250	14760	14150	6380
"413"	9470	35000	20480	8690	2360
"414"	5590	30080	12670	3760	2690
"415"	3390	19260	19730	11760	3660
"416"	10910	5980	9180	12330	3140
"417"	10640	9960	7510	15860	4290
"418"	7670	29150	21430	13890	2260
"419"	1500	21000	21360	16280	3490
"420"	9970	9430	4310	9980	1550
"421"	9320	18410	18790	12210	2770
"422"	7590	3490	24360	14520	3170
"423"	7090	11650	18540	5330	2890
"424"	7740	7370	20470	9980	5720
"425"	9060	19060	18360	6920	1550
"426"	13400	9970	5910	9600	2690
"427"	8010	26010	15870	3400	2460
"428"	7860	17580	5910	10790	2390
"429"	7570	46140	21700	3910	1590
"430"	9060	15390	12940	18430	1930
"431"	9000	25320	5510	7580	2360
"432"	3180	19070	8710	11910	1770
"433"	9870	29360	5910	12350	3140
"434"	9640	18740	19300	5950	1780
"435"	9260	9570	5910	13350	2890
"436"	8900	7950	15960	15070	3140
"437"	11680	18340	19360	9860	3140
"438"	5670	35570	7970	4670	3110
"439"	3190	16090	5910	3170	3140
"440"	3570	19880	18870	5440	2270
"441"	8500	50310	19900	16160	2860
"442"	8000	24050	8450	15440	1550
"443"	7690	17330	6690	3360	2980
"444"	5560	12130	20160	6950	1770
"445"	2020	16020	3360	13780	3960
"446"	2180	26160	9660	8980	2690
"447"	2410	28060	16760	9730	3290
"448"	2020	3910	13070	12640	1610
"449"	7590	26860	5910	8570	2690
"450"	5730	14770	5910	11890	3140
"451"	6110	33120	19860	13140	2740
"452"	2110	19500	6310	13980	3100
"453"	7390	5950	16760	10920	3490
"454"	7970	26370	24420	14590	3150
"455"	8660	45530	8290	10750	4290
"456"	8790	9380	5910	9270	5730
"457"	9140	14550	5310	8580	2690
"458"	8760	14650	5910	13240	2360
"459"	6860	28800	3850	14920	9130
"460"	2020	15490	5510	17790	3140
"461"	7990	40490	25960	11980	4690
"462"	8660	29890	5150	15280	3140
"463"	6730	23490	6700	3190	2160
"464"	7250	26510	5990	11240	3290
"465"	13420	32790	5910	12980	3290
"466"	2260	14660	20360	9520	2690
"467"	5230	13220	20380	3770	2380
"468"	2770	24120	5910	14870	4990
"469"	3590	7740	18260	14170	4090
"470"	5360	26200	13800	13130	5350
"471"	5790	18580	7570	12900	1590
"472"	8320	24350	17960	4710	2830
"473"	6880	32900	30680	4600	3460
"474"	6050	24850	5910	14740	2780
"475"	10710	9900	5910	11140	3140
"476"	2740	26140	7980	4580	2780
"477"	1550	17060	18560	3350	2780
"478"	7670	30800	6680	18360	3140
"479"	1550	13990	15510	13830	1820
"480"	8890	20590	5690	14010	3140
"481"	7860	33580	3910	16480	2340
"482"	11960	16930	5840	14040	3140
"483"	10450	12980	5920	13620	3110
"484"	11390	21850	5910	19340	3140
"485"	3630	15420	21360	4560	3140
"486"	7270	29230	21660	16420	2280
"487"	9860	15910	21160	5510	1550
"488"	8160	15030	18760	11740	2310
"489"	9480	4090	5870	16510	2970
"490"	8660	21890	17360	11780	1550
"491"	7880	7070	6690	2750	5400
"492"	5490	15860	5910	15160	1560
"493"	2350	8140	17960	8320	3180
"494"	9740	9970	21440	11780	5740
"495"	10920	7860	20360	14120	3170
"496"	10940	47350	5910	3290	3140
"497"	7180	5950	26050	18210	2160
"498"	4790	16240	17450	11340	2440
"499"	16650	19180	5540	12120	3140
"500"	7090	41480	14540	6990	2690
"501"	8470	32020	7290	15360	2690
"502"	5330	13080	20620	12640	2580
"503"	9320	33030	21430	13480	1850
"504"	13700	18220	5910	13270	3140
"505"	7500	27710	21360	15000	3490
"506"	8390	23050	5910	4760	5970
"507"	6740	17110	13140	3500	2560
"508"	7760	28960	5370	11380	1550
"509"	10610	12870	12560	14120	2840
"510"	8330	11270	5910	12490	3140
"511"	13050	8370	6510	5190	3140
"512"	11620	11400	15760	6780	1820
"513"	9820	2370	5910	14570	3140
"514"	2590	29960	3900	14330	1570
"515"	6760	16900	5510	3590	3140
"516"	1490	10870	18270	3700	3490
"517"	11720	20600	35980	8730	1750
"518"	9190	6150	5910	11320	2890
"519"	7430	19430	5510	7250	1850
"520"	2320	21260	5170	14570	7530
"521"	11140	9860	5910	13290	2200
"522"	2080	42890	8710	12120	3140
"523"	4230	27310	17410	16900	3140
"524"	8790	14220	18640	13730	2890
"525"	5360	8070	9570	11730	3490
"526"	4830	24790	5910	12340	2360
"527"	7330	21090	25960	12020	1600
"528"	9710	7610	7130	11560	9140
"529"	2090	9120	8560	6650	2940
"530"	6190	6810	9360	18150	3140
"531"	8660	19860	8170	3350	3140
"532"	9260	12500	5510	14850	3490
"533"	12670	17950	15820	10560	2890
"534"	6850	6370	5510	14540	2890
"535"	8090	16390	6710	9370	1550
"536"	4970	22450	5910	14360	3140
"537"	8080	13160	3140	16200	1550
"538"	9540	8560	5110	14380	5360
"539"	8920	8830	5910	2960	6550
"540"	6180	8570	4080	11840	3140
"541"	9210	26810	5310	14640	5070
"542"	10430	21660	15560	12670	3140
"543"	12190	27670	14270	14360	3070
"544"	15740	38030	22650	14890	6730
"545"	1530	28900	5910	12690	4630
"546"	9070	24710	16460	16280	2740
"547"	6600	14590	16460	10180	5750
"548"	3830	20490	20160	3360	2690
"549"	9570	8150	4160	15900	2970
"550"	3260	33460	15450	12650	1560
"551"	2020	25170	19970	18240	1650
"552"	7930	9580	7360	4630	1590
"553"	7700	14870	3760	14340	1550
"554"	2910	13750	16140	11540	3140
"555"	6300	32900	5510	12860	1820
"556"	7060	17100	8310	5490	1550
"557"	8440	32210	5510	15570	5560
"558"	8860	9800	5910	15360	2740
"559"	2020	15160	17220	12430	2360
"560"	14500	28040	9330	11930	3890
"561"	2220	12270	5510	8350	3090
"562"	5590	6970	5910	14360	5890
"563"	2020	19060	11720	12000	5490
"564"	6890	15820	19490	15480	3140
"565"	3910	14910	21150	16070	5340
"566"	8920	20290	5910	13340	2360
"567"	8800	6810	17760	13930	2690
"568"	2050	4540	7640	7330	1830
"569"	2970	29720	20550	14030	7630
"570"	2420	17480	17420	3580	8150
"571"	12990	22110	5310	4060	3140
"572"	2020	5780	5910	7230	3490
"573"	6940	27650	21560	12620	3180
"574"	8080	17600	20220	4600	3140
"575"	9320	22390	17920	3170	3100
"576"	7590	33370	5910	16280	2890
"577"	9480	11930	15960	13350	6150
"578"	6690	7170	15170	7690	2890
"579"	6490	24630	22970	16090	1660
"580"	9440	7210	5910	4190	4690
"581"	4360	13290	19810	13540	3190
"582"	7720	20460	14900	15340	2970
"583"	5910	18450	5970	14910	3160
"584"	6450	27640	22030	4950	2690
"585"	6160	37910	7120	14530	5740
"586"	7480	30260	16330	16820	2710
"587"	4110	30090	15360	12320	2980
"588"	7400	7970	2560	9990	2180
"589"	8230	26520	13090	15840	1560
"590"	6690	40440	5830	13500	3090
"591"	2020	33000	4910	10270	3710
"592"	8050	59990	15210	13470	2790
"593"	9120	29180	5910	8590	2890
"594"	1580	19490	13920	17060	2740
"595"	8100	14770	20360	12020	3140
"596"	9100	1640	5910	18070	2580
"597"	9900	30020	8170	11220	2390
"598"	5190	16160	5910	6710	3140
"599"	2010	21060	17250	5100	3140
"600"	8470	22650	4560	12680	3140
"601"	8860	32810	5910	3700	3140
"602"	8400	13020	5910	12280	4090
"603"	8000	16160	5910	3360	2460
"604"	9160	12980	13130	15890	4690
"605"	4360	11730	22300	8080	3490
"606"	8270	13850	4140	14860	2890
"607"	8830	17500	6740	4470	2690
"608"	8050	6780	5950	5110	2870
"609"	8210	8570	19560	17560	2890
"610"	8460	9170	8960	13340	3540
"611"	9180	22290	5510	4310	3140
"612"	2180	14920	6710	17460	2580
"613"	3090	16880	24560	12070	4290
"614"	2110	11870	21260	12180	2690
"615"	8630	19780	5170	11640	3180
"616"	5560	26560	5910	13030	2690
"617"	7460	24910	6820	11720	2690
"618"	5690	23430	19850	5510	3140
"619"	8660	52650	19380	7560	2690
"620"	3430	16240	20220	4310	3600
"621"	8910	23310	2760	4640	4090
"622"	9870	16570	5910	12610	3620
"623"	6960	13100	8600	13000	2360
